arm,true_grammar,impostor_id,surface_seed,frac,rotation_deg,degradation,degradation_param,wb_gain_bgr,boundaries_spanned,top_sheet,top_aggregate,verdict_001,aggregate_001,coverage_001,renormalised_001,verdict_002,aggregate_002,coverage_002,renormalised_002,ink002_agreement,ink002_agr_absolute,ink002_agr_relationship,ink002_gain_b,ink002_gain_g,ink002_gain_r,ink002_implied_b,ink002_implied_g,ink002_implied_r,ink002_gain_in_bounds,ink002_relationship_applicable,ink002_n_inks,ink002_n_clipped,ink002_rank_corr
surface_001,bar-cascade-001,,0,0.2,0.0,none,,,2,bar-cascade-001,0.4088,candidate,0.4088,1.0,0.4088,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.2,0.0,none,,,3,bar-cascade-001,0.5512,candidate,0.5512,1.0,0.5512,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.2,0.0,none,,,2,bar-cascade-001,0.5319,candidate,0.5319,1.0,0.5319,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.2,0.0,none,,,2,bar-cascade-001,0.5312,candidate,0.5312,1.0,0.5312,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.2,0.0,none,,,2,bar-cascade-001,0.2875,not_recognised,0.2875,1.0,0.2875,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.2,0.0,none,,,2,bar-cascade-001,0.4704,candidate,0.4704,1.0,0.4704,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.2,0.0,none,,,2,bar-cascade-001,0.4281,candidate,0.4281,1.0,0.4281,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,0,0.2,0.0,none,,,2,bar-cascade-001,0.4194,candidate,0.4194,1.0,0.4194,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.2,0.0,none,,,2,bar-cascade-001,0.5302,candidate,0.5302,1.0,0.5302,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
surface_001,bar-cascade-001,,1,0.2,0.0,none,,,2,bar-cascade-001,0.4494,candidate,0.4494,1.0,0.4494,not_recognised,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,True,True,4,0,0.1333
